,Date,Adv,Dec,Adv_Dec_Ratio,Adv_Dec_Ratio_Recalc,Mean_Adv_Dec_Ratio
0,2021-02-10,879,1048,0.84,0.8387404580152672,1.2549831718609346
0,2021-02-11,1106,833,1.33,1.3277310924369747,1.260660482785304
0,2021-02-12,854,1059,0.81,0.8064211520302171,1.2669309176125008
0,2021-02-15,862,1116,0.77,0.7724014336917563,1.2718568289683887
0,2021-02-16,822,1115,0.74,0.737219730941704,1.2713091789495614
0,2021-02-17,914,1010,0.9,0.904950495049505,1.2784336521338557
0,2021-02-18,1064,862,1.23,1.234338747099768,1.2472056110334246
0,2021-02-19,646,1286,0.5,0.5023328149300156,1.220703884716494
0,2021-02-22,569,1395,0.41,0.4078853046594982,1.2169869362363712
0,2021-02-23,1156,755,1.53,1.5311258278145696,1.2237552803428604
0,2021-02-24,1200,632,1.9,1.8987341772151898,1.2276074869798772
0,2021-02-25,1258,677,1.86,1.8581979320531758,1.234112900175119
0,2021-02-26,580,1368,0.42,0.4239766081871345,1.2242275066145891
0,2021-03-01,1297,700,1.85,1.8528571428571428,1.2366393267741251
0,2021-03-02,1189,729,1.63,1.6310013717421126,1.2451453819618572
0,2021-03-03,1206,734,1.64,1.6430517711171662,1.2530453276809184
0,2021-03-04,1047,896,1.17,1.1685267857142858,1.2595104193971485
0,2021-03-05,537,1423,0.38,0.3773717498243148,1.2557911006836924
0,2021-03-08,1038,927,1.12,1.1197411003236246,1.259370809238718
0,2021-03-09,744,1208,0.62,0.6158940397350994,1.262159198345071
0,2021-03-10,1080,851,1.27,1.2690951821386605,1.25924741044043
0,2021-03-12,786,1174,0.67,0.6695059625212947,1.2524462294641394
0,2021-03-15,691,1316,0.53,0.5250759878419453,1.2466437617094897
0,2021-03-16,913,1022,0.89,0.8933463796477495,1.2454801381273264
0,2021-03-17,382,1582,0.24,0.24146649810366624,1.2365714429242436
0,2021-03-18,425,1529,0.28,0.2779594506213211,1.2206823536180513
0,2021-03-19,1017,915,1.11,1.1114754098360655,1.2270128242033147
0,2021-03-22,1062,930,1.14,1.1419354838709677,1.2296236250705377
0,2021-03-23,1157,778,1.49,1.487146529562982,1.239706920901739
0,2021-03-24,441,1492,0.3,0.2955764075067024,1.2375143289222752
0,2021-03-25,359,1615,0.22,0.22229102167182663,1.2294068426632228
0,2021-03-26,1157,769,1.5,1.504551365409623,1.2383899105237368
0,2021-03-30,1049,917,1.14,1.143947655398037,1.238394201892532
0,2021-03-31,925,1008,0.92,0.9176587301587301,1.236492807542743
0,2021-04-01,1594,355,4.49,4.490140845070423,1.2561588110970257
0,2021-04-05,623,1374,0.45,0.4534206695778748,1.2449489287802868
0,2021-04-06,1158,774,1.5,1.496124031007752,1.24529478447498
0,2021-04-07,1277,647,1.97,1.973724884080371,1.257178282128699
0,2021-04-08,1242,707,1.76,1.7567185289957568,1.2633251440930215
0,2021-04-09,1071,844,1.27,1.268957345971564,1.2613428015422385
0,2021-04-12,229,1781,0.13,0.12857944974733296,1.2470943494643694
0,2021-04-13,1407,519,2.71,2.7109826589595376,1.2342321872584465
